symbol,status,category
BTCUSDT,Trading,spot
ETHUSDT,Trading,spot
XRPUSDT,Trading,spot
EOSUSDT,Trading,spot
ETHBTC,Trading,spot
XRPBTC,Trading,spot
DOTUSDT,Trading,spot
XLMUSDT,Trading,spot
LTCUSDT,Trading,spot
DOGEUSDT,Trading,spot
CHZUSDT,Trading,spot
AXSUSDT,Trading,spot
MANAUSDT,Trading,spot
DYDXUSDT,Trading,spot
MKRUSDT,Trading,spot
COMPUSDT,Trading,spot
AAVEUSDT,Trading,spot
YFIUSDT,Trading,spot
LINKUSDT,Trading,spot
SUSHIUSDT,Trading,spot
UNIUSDT,Trading,spot
KSMUSDT,Trading,spot
ICPUSDT,Trading,spot
ADAUSDT,Trading,spot
ETCUSDT,Trading,spot
KLAYUSDT,Trading,spot
XTZUSDT,Trading,spot
BCHUSDT,Trading,spot
SRMUSDT,Trading,spot
QNTUSDT,Trading,spot
USDCUSDT,Trading,spot
GRTUSDT,Trading,spot
SOLUSDT,Trading,spot
FILUSDT,Trading,spot
OMGUSDT,Trading,spot
BATUSDT,Trading,spot
ZRXUSDT,Trading,spot
CRVUSDT,Trading,spot
AGLDUSDT,Trading,spot
ANKRUSDT,Trading,spot
PERPUSDT,Trading,spot
WAVESUSDT,Trading,spot
LUNCUSDT,Trading,spot
SPELLUSDT,Trading,spot
SHIBUSDT,Trading,spot
FTMUSDT,Trading,spot
ATOMUSDT,Trading,spot
ALGOUSDT,Trading,spot
ENJUSDT,Trading,spot
CBXUSDT,Trading,spot
SANDUSDT,Trading,spot
AVAXUSDT,Trading,spot
WOOUSDT,Trading,spot
FTTUSDT,Trading,spot
GODSUSDT,Trading,spot
IMXUSDT,Trading,spot
ENSUSDT,Trading,spot
CAKEUSDT,Trading,spot
STETHUSDT,Trading,spot
GALFTUSDT,Trading,spot
LFWUSDT,Trading,spot
SLPUSDT,Trading,spot
C98USDT,Trading,spot
PSPUSDT,Trading,spot
GENEUSDT,Trading,spot
AVAUSDT,Trading,spot
ONEUSDT,Trading,spot
PTUUSDT,Trading,spot
SHILLUSDT,Trading,spot
XYMUSDT,Trading,spot
BOBAUSDT,Trading,spot
JASMYUSDT,Trading,spot
GALAUSDT,Trading,spot
TRVLUSDT,Trading,spot
WEMIXUSDT,Trading,spot
XEMUSDT,Trading,spot
BICOUSDT,Trading,spot
CELUSDT,Trading,spot
UMAUSDT,Trading,spot
HOTUSDT,Trading,spot
NEXOUSDT,Trading,spot
BNTUSDT,Trading,spot
