start_time,open_price,high_price,low_price,close_price,volume,turnover,category,symbol,interval,resistance,support,dtt
1723348800000,19.153,19.368,19.153,19.355,8629.63,166214.96296,spot,INJUSDT,60,,,2024-08-11 04:00:00+00:00
1723352400000,19.355,19.402,19.211,19.358,9146.45,176708.49371,spot,INJUSDT,60,19.355,19.355,2024-08-11 05:00:00+00:00
1723356000000,19.358,19.364,19.223,19.306,5921.82,114254.81419,spot,INJUSDT,60,19.358,19.355,2024-08-11 06:00:00+00:00
1723359600000,19.306,19.314,19.159,19.189,5428.91,104391.82497,spot,INJUSDT,60,19.358,19.306,2024-08-11 07:00:00+00:00
1723363200000,19.189,19.287,19.107,19.127,6267.66,120136.92068,spot,INJUSDT,60,19.358,19.189,2024-08-11 08:00:00+00:00
1723366800000,19.127,19.336,19.113,19.185,10869.38,208929.11298,spot,INJUSDT,60,19.358,19.127,2024-08-11 09:00:00+00:00
1723370400000,19.185,19.369,19.139,19.244,10425.82,200928.91675,spot,INJUSDT,60,19.358,19.127,2024-08-11 10:00:00+00:00
1723374000000,19.244,19.26,18.842,19.031,25363.25,483334.73869,spot,INJUSDT,60,19.358,19.127,2024-08-11 11:00:00+00:00
1723377600000,19.031,19.103,18.839,18.989,19938.99,378188.97234,spot,INJUSDT,60,19.358,19.031,2024-08-11 12:00:00+00:00
1723381200000,18.989,19.077,18.669,18.908,20043.24,378381.80305,spot,INJUSDT,60,19.358,18.989,2024-08-11 13:00:00+00:00
1723384800000,18.908,18.951,18.47,18.547,17020.02,318235.91276,spot,INJUSDT,60,19.358,18.908,2024-08-11 14:00:00+00:00
1723388400000,18.547,18.64,18.375,18.44,17117.45,316567.6174,spot,INJUSDT,60,19.358,18.547,2024-08-11 15:00:00+00:00
1723392000000,18.44,18.57,18.379,18.44,17382.05,321229.05484,spot,INJUSDT,60,19.358,18.44,2024-08-11 16:00:00+00:00
1723395600000,18.44,18.554,18.278,18.501,8759.55,161144.80605,spot,INJUSDT,60,19.358,18.44,2024-08-11 17:00:00+00:00
1723399200000,18.501,18.575,18.397,18.503,7332.17,135536.38033,spot,INJUSDT,60,19.358,18.44,2024-08-11 18:00:00+00:00
1723402800000,18.503,18.51,17.95,17.965,30325.47,547706.44064,spot,INJUSDT,60,19.358,18.44,2024-08-11 19:00:00+00:00
1723406400000,17.965,17.974,17.75,17.872,28144.04,502592.80421,spot,INJUSDT,60,19.358,17.965,2024-08-11 20:00:00+00:00
1723410000000,17.872,18.055,17.826,17.973,11891.06,213596.19346,spot,INJUSDT,60,19.358,17.872,2024-08-11 21:00:00+00:00
1723413600000,17.973,17.973,17.609,17.829,37965.69,676065.13906,spot,INJUSDT,60,19.358,17.872,2024-08-11 22:00:00+00:00
1723417200000,17.829,17.829,17.636,17.654,7097.92,125800.5119,spot,INJUSDT,60,19.358,17.829,2024-08-11 23:00:00+00:00
1723420800000,17.654,17.882,17.6,17.75,23146.84,410057.28722,spot,INJUSDT,60,19.358,17.654,2024-08-12 00:00:00+00:00
1723424400000,17.75,17.886,17.664,17.81,10934.78,194364.62978,spot,INJUSDT,60,19.358,17.654,2024-08-12 01:00:00+00:00
1723428000000,17.81,17.835,17.648,17.739,9209.15,163079.50316,spot,INJUSDT,60,19.306,17.654,2024-08-12 02:00:00+00:00
1723431600000,17.739,17.818,17.618,17.657,6872.52,121633.64309,spot,INJUSDT,60,19.244,17.654,2024-08-12 03:00:00+00:00
1723435200000,17.657,17.811,17.628,17.725,9472.96,167869.08297,spot,INJUSDT,60,19.244,17.654,2024-08-12 04:00:00+00:00
