start_time,open_price,high_price,low_price,close_price,volume,turnover,category,symbol,interval,resistance,support,dtt
1663286400000,1.32,1.6953,1.32,1.6746,19283.91,31699.064386,spot,INJUSDT,D,,,2022-09-16 00:00:00+00:00
1663372800000,1.6746,1.7072,1.641,1.692,21987.96,36674.037942,spot,INJUSDT,D,1.6746,1.6746,2022-09-17 00:00:00+00:00
1663459200000,1.692,1.696,1.4313,1.4519,12025.84,19094.881248,spot,INJUSDT,D,1.692,1.6746,2022-09-18 00:00:00+00:00
1663545600000,1.4519,1.6406,1.4229,1.5771,30839.12,47713.398592,spot,INJUSDT,D,1.692,1.4519,2022-09-19 00:00:00+00:00
1663632000000,1.5771,1.6467,1.5094,1.5241,18246.62,28875.431056,spot,INJUSDT,D,1.692,1.4519,2022-09-20 00:00:00+00:00
1663718400000,1.5241,1.5829,1.4427,1.4612,7853.99,11885.788686,spot,INJUSDT,D,1.692,1.4519,2022-09-21 00:00:00+00:00
1663804800000,1.4612,1.5487,1.4592,1.5289,11694.36,17693.497423,spot,INJUSDT,D,1.692,1.4519,2022-09-22 00:00:00+00:00
1663891200000,1.5289,1.6478,1.4702,1.5733,13488.91,20939.828208,spot,INJUSDT,D,1.692,1.4519,2022-09-23 00:00:00+00:00
1663977600000,1.5733,1.6911,1.5421,1.649,39658.51,64181.410828,spot,INJUSDT,D,1.692,1.4519,2022-09-24 00:00:00+00:00
1664064000000,1.649,1.9917,1.6075,1.7954,33912.37,59590.619442,spot,INJUSDT,D,1.692,1.4519,2022-09-25 00:00:00+00:00
1664150400000,1.7954,1.9386,1.6901,1.7873,41903.16,75156.979315,spot,INJUSDT,D,1.7954,1.4519,2022-09-26 00:00:00+00:00
1664236800000,1.7873,1.8472,1.713,1.747,31951.66,56833.13134,spot,INJUSDT,D,1.7954,1.4519,2022-09-27 00:00:00+00:00
1664323200000,1.747,1.7479,1.623,1.7074,18809.19,31740.855804,spot,INJUSDT,D,1.7954,1.4519,2022-09-28 00:00:00+00:00
1664409600000,1.7074,1.7203,1.634,1.6816,8040.63,13457.800225,spot,INJUSDT,D,1.7954,1.4519,2022-09-29 00:00:00+00:00
1664496000000,1.6816,1.7521,1.6363,1.705,29183.93,49459.137229,spot,INJUSDT,D,1.7954,1.4519,2022-09-30 00:00:00+00:00
1664582400000,1.705,1.7209,1.64,1.6531,10574.46,17766.802937,spot,INJUSDT,D,1.7954,1.4519,2022-10-01 00:00:00+00:00
1664668800000,1.6531,1.6827,1.5526,1.5668,8969.9,14766.792272,spot,INJUSDT,D,1.7954,1.4519,2022-10-02 00:00:00+00:00
1664755200000,1.5668,1.744,1.5612,1.7169,25170.93,41386.575689,spot,INJUSDT,D,1.7954,1.4519,2022-10-03 00:00:00+00:00
1664841600000,1.7169,1.88,1.689,1.801,46362.05,82639.679534,spot,INJUSDT,D,1.7954,1.4519,2022-10-04 00:00:00+00:00
1664928000000,1.801,1.989,1.7519,1.9201,48124.25,90444.550768,spot,INJUSDT,D,1.801,1.4519,2022-10-05 00:00:00+00:00
1665014400000,1.9201,1.9239,1.8213,1.8306,14233.9,26912.97895,spot,INJUSDT,D,1.9201,1.4519,2022-10-06 00:00:00+00:00
1665100800000,1.8306,2.04,1.8237,1.9959,29081.75,56067.120167,spot,INJUSDT,D,1.9201,1.4519,2022-10-07 00:00:00+00:00
1665187200000,1.9959,2.0527,1.9528,1.9854,31804.85,64022.849476,spot,INJUSDT,D,1.9959,1.4519,2022-10-08 00:00:00+00:00
1665273600000,1.9854,2.0113,1.8897,1.9137,21592.88,41873.251792,spot,INJUSDT,D,1.9959,1.4612,2022-10-09 00:00:00+00:00
1665360000000,1.9137,1.9539,1.7545,1.7581,26482.41,49860.679959,spot,INJUSDT,D,1.9959,1.4612,2022-10-10 00:00:00+00:00
1665446400000,1.7581,1.9122,1.705,1.8211,18472.62,34066.057854,spot,INJUSDT,D,1.9959,1.4612,2022-10-11 00:00:00+00:00
1665532800000,1.8211,1.8449,1.757,1.7899,10908.7,19530.004547,spot,INJUSDT,D,1.9959,1.5289,2022-10-12 00:00:00+00:00
1665619200000,1.7899,1.7915,1.57,1.7404,15312.29,25910.592898,spot,INJUSDT,D,1.9959,1.5668,2022-10-13 00:00:00+00:00
1665705600000,1.7404,1.8901,1.7229,1.7689,17675.86,32256.514124,spot,INJUSDT,D,1.9959,1.5668,2022-10-14 00:00:00+00:00
1665792000000,1.7689,1.7891,1.7176,1.752,19768.44,34644.041686,spot,INJUSDT,D,1.9959,1.5668,2022-10-15 00:00:00+00:00
1665878400000,1.752,1.9518,1.752,1.9062,21861.97,41018.458614,spot,INJUSDT,D,1.9959,1.5668,2022-10-16 00:00:00+00:00
1665964800000,1.9062,2.2305,1.8824,2.0999,40895.64,85561.613702,spot,INJUSDT,D,1.9959,1.5668,2022-10-17 00:00:00+00:00
1666051200000,2.0999,2.1751,2.0367,2.086,40174.85,83260.113057,spot,INJUSDT,D,2.0999,1.5668,2022-10-18 00:00:00+00:00
1666137600000,2.086,2.0896,1.9639,1.9875,101184.12,207659.40887,spot,INJUSDT,D,2.0999,1.5668,2022-10-19 00:00:00+00:00
1666224000000,1.9875,2.043,1.84,1.8733,11184.18,21523.386864,spot,INJUSDT,D,2.0999,1.5668,2022-10-20 00:00:00+00:00
1666310400000,1.8733,1.9334,1.7718,1.9086,21919.57,41198.384934,spot,INJUSDT,D,2.0999,1.5668,2022-10-21 00:00:00+00:00
1666396800000,1.9086,2.0,1.8279,1.9136,24736.0,46667.847806,spot,INJUSDT,D,2.0999,1.5668,2022-10-22 00:00:00+00:00
1666483200000,1.9136,2.0,1.897,1.9649,19156.76,37374.932353,spot,INJUSDT,D,2.0999,1.7169,2022-10-23 00:00:00+00:00
1666569600000,1.9649,1.9649,1.8586,1.9054,12380.37,23529.84813,spot,INJUSDT,D,2.0999,1.7404,2022-10-24 00:00:00+00:00
1666656000000,1.9054,2.0662,1.8897,1.9664,21247.13,41763.885579,spot,INJUSDT,D,2.0999,1.7404,2022-10-25 00:00:00+00:00
1666742400000,1.9664,2.176,1.9335,2.0635,28317.99,59052.669334,spot,INJUSDT,D,2.0999,1.7404,2022-10-26 00:00:00+00:00
1666828800000,2.0635,2.2267,2.0052,2.0256,42478.04,89520.098613,spot,INJUSDT,D,2.0999,1.7404,2022-10-27 00:00:00+00:00
1666915200000,2.0256,2.1,1.9081,2.0668,19036.2,38553.523331,spot,INJUSDT,D,2.0999,1.7404,2022-10-28 00:00:00+00:00
1667001600000,2.0668,2.45,2.0401,2.3514,56238.57,127720.246109,spot,INJUSDT,D,2.0999,1.7404,2022-10-29 00:00:00+00:00
1667088000000,2.3514,2.4529,2.1472,2.193,67342.4,153810.227036,spot,INJUSDT,D,2.3514,1.7404,2022-10-30 00:00:00+00:00
1667174400000,2.193,2.7647,2.1473,2.4341,128835.94,314798.857777,spot,INJUSDT,D,2.3514,1.7404,2022-10-31 00:00:00+00:00
1667260800000,2.4341,2.5686,2.2765,2.5033,61889.23,149589.10886,spot,INJUSDT,D,2.4341,1.7404,2022-11-01 00:00:00+00:00
1667347200000,2.5033,2.6842,2.3089,2.5161,118780.16,297660.26338,spot,INJUSDT,D,2.5033,1.7404,2022-11-02 00:00:00+00:00
1667433600000,2.5161,3.0275,2.4813,2.636,180582.13,503808.084892,spot,INJUSDT,D,2.5161,1.752,2022-11-03 00:00:00+00:00
1667520000000,2.636,2.92,2.6195,2.715,60439.41,168656.386597,spot,INJUSDT,D,2.636,1.752,2022-11-04 00:00:00+00:00
1667606400000,2.715,2.9907,2.6481,2.6816,81799.94,230340.826959,spot,INJUSDT,D,2.715,1.8733,2022-11-05 00:00:00+00:00
1667692800000,2.6816,2.8799,2.5704,2.5859,108056.55,293861.581511,spot,INJUSDT,D,2.715,1.8733,2022-11-06 00:00:00+00:00
1667779200000,2.5859,2.8036,2.42,2.6824,64951.87,167365.145515,spot,INJUSDT,D,2.715,1.8733,2022-11-07 00:00:00+00:00
1667865600000,2.6824,2.75,1.6109,1.9856,119064.5,259827.415601,spot,INJUSDT,D,2.715,1.8733,2022-11-08 00:00:00+00:00
1667952000000,1.9856,2.0,1.38,1.4686,76834.89,126451.666121,spot,INJUSDT,D,2.715,1.8733,2022-11-09 00:00:00+00:00
1668038400000,1.4686,1.8759,1.4417,1.7943,51268.25,87268.335699,spot,INJUSDT,D,2.715,1.4686,2022-11-10 00:00:00+00:00
1668124800000,1.7943,1.8736,1.6186,1.7576,69841.29,121919.475831,spot,INJUSDT,D,2.715,1.4686,2022-11-11 00:00:00+00:00
1668211200000,1.7576,1.8662,1.6574,1.72,25872.65,45376.544096,spot,INJUSDT,D,2.715,1.4686,2022-11-12 00:00:00+00:00
1668297600000,1.72,1.9517,1.7033,1.8167,43717.72,79104.017561,spot,INJUSDT,D,2.715,1.4686,2022-11-13 00:00:00+00:00
