start_time,open_price,high_price,low_price,close_price,volume,turnover,category,symbol,interval
1727551500000,2.329,2.331,2.328,2.33,12837.79,29891.84555,spot,WIFUSDT,5
1727551200000,2.331,2.331,2.325,2.329,4390.84,10223.16853,spot,WIFUSDT,5
1727550900000,2.33,2.333,2.325,2.331,5542.71,12912.33587,spot,WIFUSDT,5
1727550600000,2.328,2.33,2.324,2.33,3268.24,7605.13801,spot,WIFUSDT,5
1727550300000,2.321,2.328,2.321,2.328,4260.87,9909.33072,spot,WIFUSDT,5
1727550000000,2.32,2.327,2.32,2.321,16971.04,39448.17796,spot,WIFUSDT,5
1727549700000,2.32,2.325,2.318,2.32,12580.08,29197.99854,spot,WIFUSDT,5
1727549400000,2.324,2.327,2.32,2.32,5805.51,13493.99598,spot,WIFUSDT,5
1727549100000,2.328,2.329,2.323,2.324,50125.28,116468.15039,spot,WIFUSDT,5
1727548800000,2.332,2.332,2.325,2.328,9153.46,21322.82775,spot,WIFUSDT,5
1727548500000,2.343,2.343,2.332,2.332,34435.58,80553.7413,spot,WIFUSDT,5
1727548200000,2.336,2.343,2.333,2.343,44325.79,103760.42347,spot,WIFUSDT,5
1727547900000,2.342,2.345,2.336,2.336,18004.96,42167.777,spot,WIFUSDT,5
1727547600000,2.327,2.342,2.327,2.342,10630.38,24844.20778,spot,WIFUSDT,5
1727547300000,2.321,2.328,2.321,2.327,24277.75,56433.48164,spot,WIFUSDT,5
1727547000000,2.315,2.321,2.312,2.321,18696.31,43319.94693,spot,WIFUSDT,5
1727546700000,2.322,2.323,2.314,2.315,14929.99,34636.96069,spot,WIFUSDT,5
1727546400000,2.318,2.323,2.315,2.322,24165.39,56019.36398,spot,WIFUSDT,5
1727546100000,2.313,2.318,2.312,2.318,49525.16,114576.29637,spot,WIFUSDT,5
1727545800000,2.316,2.317,2.31,2.313,25476.24,58947.16304,spot,WIFUSDT,5
1727545500000,2.324,2.328,2.312,2.316,40735.42,94489.58342,spot,WIFUSDT,5
1727545200000,2.324,2.329,2.32,2.324,7009.69,16291.51691,spot,WIFUSDT,5
