start_time,open_price,high_price,low_price,close_price,volume,turnover,category,symbol,interval,resistance,support,dtt
1723345200000,1.8376,1.8918,1.835,1.8493,795874.32,1484385.820117,spot,WIFUSDT,60,,,2024-08-11 03:00:00+00:00
1723348800000,1.8493,1.8584,1.8198,1.8242,365991.1,670992.069127,spot,WIFUSDT,60,1.8493,1.8493,2024-08-11 04:00:00+00:00
1723352400000,1.8242,1.8474,1.8225,1.8446,188851.35,346744.728523,spot,WIFUSDT,60,1.8493,1.8242,2024-08-11 05:00:00+00:00
1723356000000,1.8446,1.8494,1.8338,1.8412,199561.69,367456.497552,spot,WIFUSDT,60,1.8493,1.8242,2024-08-11 06:00:00+00:00
1723359600000,1.8412,1.8481,1.8351,1.8437,240644.57,443540.257267,spot,WIFUSDT,60,1.8493,1.8242,2024-08-11 07:00:00+00:00
1723363200000,1.8437,1.867,1.8437,1.8472,291298.57,540851.776958,spot,WIFUSDT,60,1.8493,1.8242,2024-08-11 08:00:00+00:00
1723366800000,1.8472,1.8737,1.8225,1.8402,393622.34,729112.790801,spot,WIFUSDT,60,1.8493,1.8242,2024-08-11 09:00:00+00:00
1723370400000,1.8402,1.8495,1.8257,1.8313,191490.8,351509.447816,spot,WIFUSDT,60,1.8493,1.8242,2024-08-11 10:00:00+00:00
1723374000000,1.8313,1.8324,1.7955,1.8017,379699.34,688044.389944,spot,WIFUSDT,60,1.8493,1.8242,2024-08-11 11:00:00+00:00
1723377600000,1.8017,1.806,1.7694,1.7834,425669.48,759952.843451,spot,WIFUSDT,60,1.8493,1.8017,2024-08-11 12:00:00+00:00
1723381200000,1.7834,1.7838,1.753,1.7739,444938.87,785964.600205,spot,WIFUSDT,60,1.8493,1.7834,2024-08-11 13:00:00+00:00
1723384800000,1.7739,1.7739,1.7269,1.7354,633808.01,1109903.587621,spot,WIFUSDT,60,1.8493,1.7739,2024-08-11 14:00:00+00:00
1723388400000,1.7354,1.7362,1.7048,1.7105,620569.02,1069361.342946,spot,WIFUSDT,60,1.8493,1.7354,2024-08-11 15:00:00+00:00
1723392000000,1.7105,1.7371,1.7052,1.7228,555474.13,956398.784777,spot,WIFUSDT,60,1.8493,1.7105,2024-08-11 16:00:00+00:00
1723395600000,1.7228,1.7299,1.7115,1.7239,168797.13,290529.62983,spot,WIFUSDT,60,1.8493,1.7105,2024-08-11 17:00:00+00:00
1723399200000,1.7239,1.7316,1.712,1.7198,269396.07,463129.656891,spot,WIFUSDT,60,1.8493,1.7105,2024-08-11 18:00:00+00:00
1723402800000,1.7198,1.7212,1.6712,1.6719,771581.6,1303275.659684,spot,WIFUSDT,60,1.8493,1.7105,2024-08-11 19:00:00+00:00
1723406400000,1.6719,1.6785,1.6536,1.6638,1515311.51,2520879.125659,spot,WIFUSDT,60,1.8493,1.6719,2024-08-11 20:00:00+00:00
1723410000000,1.6638,1.6846,1.6425,1.6705,608631.59,1009905.012696,spot,WIFUSDT,60,1.8493,1.6638,2024-08-11 21:00:00+00:00
1723413600000,1.6705,1.676,1.6309,1.6364,760281.83,1252705.515606,spot,WIFUSDT,60,1.8493,1.6638,2024-08-11 22:00:00+00:00
1723417200000,1.6364,1.6367,1.624,1.6274,463509.92,755853.270791,spot,WIFUSDT,60,1.8493,1.6364,2024-08-11 23:00:00+00:00
1723420800000,1.6274,1.6716,1.6232,1.66,702311.48,1158264.374058,spot,WIFUSDT,60,1.8472,1.6274,2024-08-12 00:00:00+00:00
1723424400000,1.66,1.6796,1.6464,1.6617,296871.98,494367.359782,spot,WIFUSDT,60,1.8472,1.6274,2024-08-12 01:00:00+00:00
1723428000000,1.6617,1.6715,1.6466,1.6668,140018.56,231988.280093,spot,WIFUSDT,60,1.8472,1.6274,2024-08-12 02:00:00+00:00
1723431600000,1.6668,1.6765,1.6489,1.6558,205060.45,340619.180928,spot,WIFUSDT,60,1.8472,1.6274,2024-08-12 03:00:00+00:00
1723435200000,1.6558,1.6695,1.6521,1.6542,152331.13,252597.421734,spot,WIFUSDT,60,1.8472,1.6274,2024-08-12 04:00:00+00:00
1723438800000,1.6542,1.663,1.6418,1.6599,140215.94,232093.691972,spot,WIFUSDT,60,1.8402,1.6274,2024-08-12 05:00:00+00:00
1723442400000,1.6599,1.6632,1.6383,1.6469,287700.25,473913.780028,spot,WIFUSDT,60,1.8313,1.6274,2024-08-12 06:00:00+00:00
1723446000000,1.6469,1.7378,1.6261,1.7199,1524649.45,2574758.577903,spot,WIFUSDT,60,1.8017,1.6274,2024-08-12 07:00:00+00:00
1723449600000,1.7199,1.7584,1.7068,1.7095,1019414.41,1766400.807656,spot,WIFUSDT,60,1.7834,1.6274,2024-08-12 08:00:00+00:00
1723453200000,1.7095,1.7382,1.7005,1.7158,393546.52,675782.451503,spot,WIFUSDT,60,1.7739,1.6274,2024-08-12 09:00:00+00:00
1723456800000,1.7158,1.75,1.7011,1.7437,576050.39,996333.515063,spot,WIFUSDT,60,1.7354,1.6274,2024-08-12 10:00:00+00:00
1723460400000,1.7437,1.8209,1.7387,1.8127,954596.29,1707961.987862,spot,WIFUSDT,60,1.7437,1.6274,2024-08-12 11:00:00+00:00
1723464000000,1.8127,1.8145,1.7745,1.7982,466400.72,837770.635859,spot,WIFUSDT,60,1.8127,1.6274,2024-08-12 12:00:00+00:00
1723467600000,1.7982,1.8093,1.7029,1.7096,926644.67,1622480.020503,spot,WIFUSDT,60,1.8127,1.6274,2024-08-12 13:00:00+00:00
1723471200000,1.7096,1.8505,1.6866,1.7811,3427288.97,6024813.740229,spot,WIFUSDT,60,1.8127,1.6274,2024-08-12 14:00:00+00:00
1723474800000,1.7811,1.802,1.6718,1.748,2630812.02,4550375.245272,spot,WIFUSDT,60,1.8127,1.6274,2024-08-12 15:00:00+00:00
1723478400000,1.748,1.7625,1.7244,1.7398,558458.08,973974.184167,spot,WIFUSDT,60,1.8127,1.6274,2024-08-12 16:00:00+00:00
1723482000000,1.7398,1.755,1.7156,1.7183,469829.5,817409.809684,spot,WIFUSDT,60,1.8127,1.6274,2024-08-12 17:00:00+00:00
1723485600000,1.7183,1.7317,1.678,1.6809,528419.57,900506.086595,spot,WIFUSDT,60,1.8127,1.6274,2024-08-12 18:00:00+00:00
