symbol,current_price,change,total_volume,sma
RAINUSDT,0.0005764,1.55,15943685,0.00056904
PEOPLEUSDT,0.07261,1.255,10224862,0.072518
ZAMUSDT,0.00028349,1.019,25471615,0.00028219
PUMLXUSDT,0.00316,0.797,2273779,0.003141
NFTUSDT,4.071e-07,0.792,21812822,4.0518e-07
TRXUSDT,0.15067,0.574,5364638,0.150318
BOBUSDT,3.161e-05,0.573,152497477,3.1666e-05
WLKNUSDT,0.000982,0.512,5894723,0.0009776
PEPEUSDT,8.486e-06,0.509,281669602356,8.4888e-06
ELDAUSDT,0.003091,0.422,2829923,0.0030932
TURBOSUSDT,0.0028846,0.418,3927034,0.0028821199999999997
RACAUSDT,0.00021468,0.383,37395870,0.000214364
LADYSUSDT,9.028e-08,0.356,211639127060,9.0494e-08
GALAUSDT,0.02181,0.276,34984352,0.021802
FMBUSDT,0.01902,0.264,3399401,0.019004
KONUSDT,0.0001825,0.22,15351024,0.00018240000000000002
VINUUSDT,1.0007e-08,0.16,11009015302374,1.0004199999999999e-08
BTTUSDT,9.164e-07,0.153,3213573270,9.1622e-07
GCAKEUSDT,6.65e-08,0.151,4485232449,6.648000000000001e-08
SEORUSDT,0.0005228,0.134,7019939,0.00052216
3PUSDT,3.581e-09,0.056,64632388480,3.5754e-09
ORTUSDT,0.003616,0.028,2047349,0.0036064
XETAUSDT,0.002113,0.0,8939471,0.002113
COUSDT,0.001527,0.0,2642955,0.001527
MCRTUSDT,0.001084,0.0,3210099,0.0010831999999999999
FAMEUSDT,0.000289,0.0,21533287,0.000289
ERTHAUSDT,0.000931,0.0,3772999,0.000931
AGLAUSDT,0.00724,0.0,18300877,0.00724
XECUSDT,3.391e-05,-0.029,36616172,3.3911999999999997e-05
MNTUSDT,0.6301,-0.032,3931841,0.63088
TAPUSDT,0.000919,-0.109,24579624,0.000919
FLOKIUSDT,0.000139109,-0.13,570480316,0.00013925399999999998
MEEUSDT,0.007121,-0.154,2256929,0.007126200000000001
MVLUSDT,0.003894,-0.154,4182420,0.0038968
KMONUSDT,0.0012674,-0.244,3383903,0.0012692200000000002
COTUSDT,0.007705,-0.246,18517351,0.0077126
DOGEUSDT,0.10867,-0.348,9608723,0.108886
ZILUSDT,0.01566,-0.382,4912176,0.015694
TENETUSDT,0.00438,-0.455,2833792,0.004382
JASMYUSDT,0.022448,-0.474,2157920,0.0225328
BONKUSDT,1.85422e-05,-0.496,8072130182,1.8616759999999998e-05
SHIBUSDT,1.55107e-05,-0.503,89035231412,1.552708e-05
BABYDOGEUSDT,2.235e-09,-0.534,86046527466719,2.2302e-09
HBARUSDT,0.05755,-0.587,5482523,0.057718000000000005
VRAUSDT,0.003744,-0.637,2860575,0.0037716
DOMEUSDT,0.000254,-0.781,14397176,0.00025560000000000003
LUNCUSDT,8.725e-05,-0.875,118548253,8.7732e-05
OBXUSDT,3.39e-05,-0.877,5968678,3.4059999999999996e-05
PRIMALUSDT,0.0001679,-1.119,2441583,0.00016874
FITFIUSDT,0.003328,-2.747,2190588,0.0033753999999999998
